experiment_name,feature_set,dataset,feature_count,dropped_feature_count,dropped_features,params_json,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,rows,positive_labels,positive_predictions
grid1_11,all_features,test,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",200,5,0.05,0.8,0.8,1.1243756243756244,0.49499999999999994,0.8329439252336449,0.8470254957507082,0.770618556701031,0.8070175438596491,0.9125473610009692,0.9015848384458628,856,388,353
grid1_12,all_features,validation,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 400, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",400,5,0.05,0.8,0.8,1.1243756243756244,0.595,0.7582644628099173,0.6951219512195121,0.87117903930131,0.7732558139534884,0.8412192824728144,0.8071319655722349,968,458,574
grid1_12,all_features,test,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 400, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",400,5,0.05,0.8,0.8,1.1243756243756244,0.595,0.8317757009345794,0.8652694610778443,0.7448453608247423,0.8005540166204986,0.9093257115164332,0.8990155194630486,856,388,334
scale_grid1_01_0.75x,all_features,validation,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""scale_pos_weight"": 0.8432817182817183, ""subsample"": 0.8}",200,3,0.03,0.8,0.8,0.8432817182817183,0.5099999999999999,0.7902892561983471,0.7596741344195519,0.8144104803493449,0.78609062170706,0.8508819248223305,0.8278372212431909,968,458,491
scale_grid1_01_0.75x,all_features,test,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""scale_pos_weight"": 0.8432817182817183, ""subsample"": 0.8}",200,3,0.03,0.8,0.8,0.8432817182817183,0.5099999999999999,0.8049065420560748,0.8695652173913043,0.6701030927835051,0.7569141193595342,0.9119801304079654,0.895735756317577,856,388,299
scale_grid1_01_1.00x,all_features,validation,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",200,3,0.03,0.8,0.8,1.1243756243756244,0.5599999999999999,0.7944214876033058,0.7605633802816901,0.8253275109170306,0.7916230366492146,0.8525216200017125,0.8290400750861955,968,458,497
scale_grid1_01_1.00x,all_features,test,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",200,3,0.03,0.8,0.8,1.1243756243756244,0.5599999999999999,0.8130841121495327,0.875,0.6855670103092784,0.7687861271676301,0.9127951801920874,0.8975637634224746,856,388,304
scale_grid1_01_1.25x,all_features,validation,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""scale_pos_weight"": 1.4054695304695306, ""subsample"": 0.8}",200,3,0.03,0.8,0.8,1.4054695304695306,0.62,0.7975206611570248,0.7684426229508197,0.8187772925764192,0.7928118393234672,0.8539815052658617,0.8307967179202616,968,458,488
scale_grid1_01_1.25x,all_features,test,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""scale_pos_weight"": 1.4054695304695306, ""subsample"": 0.8}",200,3,0.03,0.8,0.8,1.4054695304695306,0.62,0.8095794392523364,0.8762541806020067,0.6752577319587629,0.7627365356622998,0.9126299673980086,0.8966335362214701,856,388,299
scale_grid1_02_0.75x,all_features,validation,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 400, ""scale_pos_weight"": 0.8432817182817183, ""subsample"": 0.8}",400,3,0.03,0.8,0.8,0.8432817182817183,0.59,0.7861570247933884,0.7598343685300207,0.8013100436681223,0.7800212539851222,0.8482960869937495,0.8258549726311748,968,458,483
scale_grid1_02_0.75x,all_features,test,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 400, ""scale_pos_weight"": 0.8432817182817183, ""subsample"": 0.8}",400,3,0.03,0.8,0.8,0.8432817182817183,0.59,0.8002336448598131,0.8888888888888888,0.6391752577319587,0.7436281859070465,0.9071173671689136,0.8922254700831758,856,388,279
scale_grid1_02_1.00x,all_features,validation,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 400, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",400,3,0.03,0.8,0.8,1.1243756243756244,0.6799999999999999,0.8026859504132231,0.7947019867549668,0.7860262008733624,0.7903402854006586,0.8541142221080571,0.8309919676115782,968,458,453
scale_grid1_02_1.00x,all_features,test,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 400, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",400,3,0.03,0.8,0.8,1.1243756243756244,0.6799999999999999,0.7827102803738317,0.8914728682170543,0.5927835051546392,0.7120743034055728,0.9062968102916557,0.8918519934651562,856,388,258
scale_grid1_02_1.25x,all_features,validation,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 400, ""scale_pos_weight"": 1.4054695304695306, ""subsample"": 0.8}",400,3,0.03,0.8,0.8,1.4054695304695306,0.7,0.7913223140495868,0.7735042735042735,0.7903930131004366,0.7818574514038877,0.8507834574877986,0.8266308434804128,968,458,468
scale_grid1_02_1.25x,all_features,test,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 400, ""scale_pos_weight"": 1.4054695304695306, ""subsample"": 0.8}",400,3,0.03,0.8,0.8,1.4054695304695306,0.7,0.8002336448598131,0.8974358974358975,0.6314432989690721,0.7413010590015129,0.9065941933209974,0.8931258727124592,856,388,273
