기업상태,기업명,기업코드,연도,종목코드,보고기간,산업군,총자산증가율,유동자산증가율,매출액증가율,순이익증가율,영업이익증가율,매출액순이익률,매출총이익률,자기자본순이익률 (ROE),매출채권회전율,재고자산회전율,총자본회전율,유형자산회전율,매출원가율,부채비율,유동비율,자기자본비율,당좌비율,비유동자산장기적합률,순운전자본비율,차입금의존도,현금비율,유형자산_총자산비율,무형자산_총자산비율,무형자산상각비_총자산비율,유형자산상각비_총자산비율,감가상각비_총자산비율,총자본영업이익률,총자본순이익률,유보액/납입자본비율,총자본투자효율,period_Q1,period_H1,period_Q3,period_ANNUAL,총자산증가율_missing,유동자산증가율_missing,매출액증가율_missing,순이익증가율_missing,영업이익증가율_missing,매출액순이익률_missing,매출총이익률_missing,자기자본순이익률 (ROE)_missing,매출채권회전율_missing,재고자산회전율_missing,총자본회전율_missing,유형자산회전율_missing,매출원가율_missing,부채비율_missing,유동비율_missing,자기자본비율_missing,당좌비율_missing,비유동자산장기적합률_missing,순운전자본비율_missing,차입금의존도_missing,현금비율_missing,유형자산_총자산비율_missing,무형자산_총자산비율_missing,무형자산상각비_총자산비율_missing,유형자산상각비_총자산비율_missing,감가상각비_총자산비율_missing,총자본영업이익률_missing,총자본순이익률_missing,유보액/납입자본비율_missing,총자본투자효율_missing,label
상장,003800,00140052,2025,003800,H1,Consumer Discretionary,6.472228678,23.3427313133,-2.3674851551,4.3062869771,-19.7508489508,29.7025903029,61.0701237826,3.1334968883,3.5422603873,1.0148236104,0.0970248317,0.1572047948,38.9298762174,8.7306651373,307.6565011588,91.9703745707,258.0054218014,,15.5665437435,0.0,60.7314320877,61.7187483355,0.0041559969,0.0,0.0,0.0,2.1450928435,2.8818888253,6522.3781938503,0.0298355307,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2016,003800,Q1,Consumer Discretionary,,,,,,13.9839293955,56.0761256744,1.9915867752,2.8426325514,0.9046530824,0.1272714456,0.2270181193,43.9238743256,11.9023054451,267.5978919811,89.36366378,197.8890717284,,14.8569741981,0.0,56.5699550457,56.0622411973,0.3416349071,0.0,0.0,0.0,2.1544271045,1.7797549097,3144.7331428224,0.0177975491,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2017,003800,Q1,Consumer Discretionary,5.9541477762,-22.195252208,3.9507315974,-9.034215016,-13.4145970793,12.2371347952,56.3150066782,1.7130861953,2.7963605727,0.8604531269,0.1248649549,0.2079291956,43.6849933218,12.1137571277,191.5397504811,89.1951198157,121.8334720522,,8.3249847913,0.0,44.9405050833,60.0516702577,0.282029426,0.0,0.0,0.0,1.760591188,1.5279892844,3360.3603553562,0.0167093745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2018,003800,Q1,Consumer Discretionary,4.8091746284,8.8752393445,1.4007073245,1.0502754017,-0.0571789611,12.1948443341,57.8267717712,1.6395638084,2.4182888342,0.8328227181,0.1208042597,0.1999303866,42.1732282288,11.29350347,218.7420917374,89.8525043081,144.7923897818,,9.8227886096,0.0,62.9275073391,60.4231611494,0.0628672572,0.0,0.0,0.0,1.6788458706,1.4731891416,3517.4666272137,0.0179119438,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2019,003800,Q1,Consumer Discretionary,12.9132012597,-0.9956159225,13.6249082795,24.1127420742,11.4256539073,13.3204558084,57.3740231016,1.8432759253,2.3887979285,0.9988547024,0.1215657051,0.1885841466,42.6259768984,13.8309057286,167.622733327,87.8496040771,112.8147466651,,6.400766322,0.0,49.430290406,64.4623141766,0.0467657139,0.0,0.0,0.0,1.6567283263,1.6193106024,3882.7632580072,0.0161953131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2020,003800,Q1,Consumer Discretionary,7.9053362385,7.3885359504,11.1956658676,-27.4385505234,-13.6600784264,8.6923494149,61.0299648273,1.2416950766,2.8807401895,0.91653517,0.1252725768,0.1871921113,38.9700351727,14.0306953224,174.7562197549,87.6956855496,115.8063096827,,6.7546345796,0.0,45.2352907425,66.921931664,0.0381706899,0.0,0.0,0.0,1.3256229835,1.0889130099,4181.9755101984,0.0158408121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2021,003800,Q1,Consumer Discretionary,12.708360068,28.9026647716,21.5974258464,122.6387178808,109.2042503982,15.9152508011,60.2947897254,2.5152825783,3.1249465901,1.0721296704,0.1351525553,0.2030591586,39.7052102746,16.9362155641,161.5630717313,85.5167062809,116.7841517207,,6.8813098391,0.0,51.7878850457,66.5582169619,0.0327039656,0.0,0.0,0.0,2.4605624854,2.1509868146,4613.2779449775,0.0230887708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2022,003800,Q1,Consumer Discretionary,9.482369213,36.5518665395,10.9039863357,-1.3723224868,10.6886667712,14.1535419547,61.8855671403,2.2507947429,3.4151966875,0.9695766923,0.1369074971,0.2277683497,38.1144328597,16.1565018684,177.2923227871,86.090746873,134.9301654777,,9.8195778205,0.0,59.6690785686,60.1082184176,0.0065004771,0.0,0.0,0.0,2.4876734306,1.9377260048,5088.6252584851,0.0236299298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2023,003800,Q1,Consumer Discretionary,6.0718982791,12.3884950307,-20.7503756231,-24.3085427613,-56.4328467072,13.5180731021,62.2326989969,1.5675699436,3.1781294422,0.7243932883,0.1022878623,0.1644430463,37.7673010031,13.3673603837,214.1082759065,88.2088104209,166.2638677555,,12.7189596952,0.0,57.4927373701,62.2026072701,0.0030251646,0.0,0.0,0.0,1.0217677957,1.3827347998,5512.0160130839,0.0152445263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2024,003800,Q1,Consumer Discretionary,6.5340956036,-2.2544733979,17.6590071583,44.1047452994,107.6557668301,16.5564756015,64.8186909165,2.1210410613,3.2477055324,0.9976553436,0.1129693574,0.1726801517,35.1813090835,13.4019504717,194.7433473481,88.1819047944,159.3127412237,,10.6527629549,0.0,51.3240204632,65.4211594513,0.005625648,0.0,0.0,0.0,1.9916250656,1.8703744093,5877.1169362759,0.0190758929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
