기업상태,기업명,기업코드,연도,종목코드,보고기간,산업군,총자산증가율,유동자산증가율,매출액증가율,순이익증가율,영업이익증가율,매출액순이익률,매출총이익률,자기자본순이익률 (ROE),매출채권회전율,재고자산회전율,총자본회전율,유형자산회전율,매출원가율,부채비율,유동비율,자기자본비율,당좌비율,비유동자산장기적합률,순운전자본비율,차입금의존도,현금비율,유형자산_총자산비율,무형자산_총자산비율,무형자산상각비_총자산비율,유형자산상각비_총자산비율,감가상각비_총자산비율,총자본영업이익률,총자본순이익률,유보액/납입자본비율,총자본투자효율,period_Q1,period_H1,period_Q3,period_ANNUAL,총자산증가율_missing,유동자산증가율_missing,매출액증가율_missing,순이익증가율_missing,영업이익증가율_missing,매출액순이익률_missing,매출총이익률_missing,자기자본순이익률 (ROE)_missing,매출채권회전율_missing,재고자산회전율_missing,총자본회전율_missing,유형자산회전율_missing,매출원가율_missing,부채비율_missing,유동비율_missing,자기자본비율_missing,당좌비율_missing,비유동자산장기적합률_missing,순운전자본비율_missing,차입금의존도_missing,현금비율_missing,유형자산_총자산비율_missing,무형자산_총자산비율_missing,무형자산상각비_총자산비율_missing,유형자산상각비_총자산비율_missing,감가상각비_총자산비율_missing,총자본영업이익률_missing,총자본순이익률_missing,유보액/납입자본비율_missing,총자본투자효율_missing,label
상장,003800,00140052,2025,003800,H1,Consumer Discretionary,0.14760453873855026,0.3957036577775621,-0.08796113216771739,0.6566249739236009,0.03461043763307532,0.7490486222708034,0.8822299548647178,0.42220671152537975,0.5322440960444688,-0.519779410727647,-0.3052995386647552,-0.5487045261003639,-2.0745856943152856,-1.1856694999901731,0.4639531989839392,0.6869882403209566,0.6883137251931789,0.0,-0.030738841883870965,-0.7414380998092599,0.2747659090834358,0.7621640294553944,-0.6721095239907584,0.0,0.0,0.0,0.5108004452204468,0.6015302621379213,1.3137164347705568,0.5603858689542105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2016,003800,Q1,Consumer Discretionary,0.0,0.0,0.0,0.0,0.0,0.619519368558493,0.8115497207185207,0.32843256961891204,0.342246903020052,-0.5716613759332946,-0.16126682998711275,-0.5041115063158349,-1.7241124814539928,-1.0020143105439665,0.35554200290248983,0.6396632146805525,0.4233650823022719,0.0,-0.03947846077687921,-0.7414380998092599,0.23749762727235985,0.7116748057676392,-0.5030551472329257,0.0,0.0,0.0,0.5121226784565726,0.4717322243967183,0.9752442269276832,0.3189185508600233,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2017,003800,Q1,Consumer Discretionary,0.13285192911701726,-0.7206848218686394,0.41565368630526917,0.14508061270617226,0.08250844245983341,0.597138373358045,0.8150690940994761,0.30009115576438183,0.32848577700004694,-0.5933249051743618,-0.1725840534790058,-0.5160473198220816,-1.7399689679222479,-0.9914321906166298,0.09591645622388631,0.6365564629058583,-0.06009795984497825,0.0,-0.14547237435099647,-0.7414380998092599,0.11700140102110754,0.747773378286871,-0.5295705526671467,0.0,0.0,0.0,0.4526198645607669,0.4348329910635723,1.0060119477619227,0.2969505128838174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2018,003800,Q1,Consumer Discretionary,0.09591656630194892,0.23674216832007214,0.2861082215004195,0.5342476323386497,0.4259737014390785,0.5965605853823666,0.8370070332674183,0.292122981152232,0.20932763991536193,-0.6071302838945584,-0.19173566437220976,-0.5211049494335481,-1.8423265642333344,-1.0334791722069783,0.1989765178794243,0.6486412882492238,0.11180558668878623,0.0,-0.11573393548043659,-0.7414380998092599,0.29343224913192956,0.7510139210130724,-0.6389553290926114,0.0,0.0,0.0,0.4392083787700287,0.4263151097432041,1.027210747904577,0.3212265833563299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2019,003800,Q1,Consumer Discretionary,0.2752349134304885,-0.288485164099168,0.6095302936507142,0.8566774054669481,0.7645393098982253,0.6113418669422841,0.8304966846731892,0.31368513041447205,0.19948534782317115,-0.5271211609690881,-0.18813915044975263,-0.528337285496687,-1.811300929165633,-0.9113289556137206,-0.007523269683974577,0.6115445288658865,-0.13659994769298625,0.0,-0.19161307290221752,-0.7414380998092599,0.16679296464165833,0.7850343869622362,-0.6478619844028787,0.0,0.0,0.0,0.4355093007049019,0.44862549554949227,1.073051928473671,0.2865644773636809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2020,003800,Q1,Consumer Discretionary,0.18362782605420047,0.20799377592987456,0.57701818900522,0.011014435815060385,0.08028846984546757,0.5408592603293911,0.881684591717329,0.24473662525496825,0.3534561198331974,-0.5659233781871795,-0.17066539057203192,-0.5292293494982351,-2.071596105556273,-0.9026181204844975,0.024789507095945962,0.608659210776443,-0.11057175767860483,0.0,-0.18228823187143348,-0.7414380998092599,0.12041688349542028,0.8047371605821043,-0.652672618816569,0.0,0.0,0.0,0.37612007430949984,0.3606834246670838,1.1074948859739098,0.2793991198969272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2021,003800,Q1,Consumer Discretionary,0.27218969285216205,0.43194900513320905,0.687409121757057,1.061813932954679,1.051466901036511,0.6414101832299329,0.8716379449614476,0.37521988798225303,0.42277633695347716,-0.4939035980223247,-0.12437201308498885,-0.5191226304755362,-2.017391295911836,-0.7875731916206573,-0.036064457565226075,0.5672666290093732,-0.1022083882930118,0.0,-0.17905329729648317,-0.7414380998092599,0.19119070603740318,0.8018690140481829,-0.6557531100692406,0.0,0.0,0.0,0.5534493059041019,0.5204524519815565,1.1530359210258057,0.4254039183570933,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2022,003800,Q1,Consumer Discretionary,0.21710252501085092,0.47208137068007955,0.5726854069164864,0.3306740691818255,0.7565012021557839,0.6215517778568583,0.8932280983614839,0.3525332115595647,0.5000161519573635,-0.5407354578553973,-0.11619126106657882,-0.503646207224049,-2.1359497288546008,-0.8165055065171769,0.035962214540784306,0.5782715686542076,0.04153862637245747,0.0,-0.1157931727936639,-0.7414380998092599,0.26549637594925324,0.7482679223360507,-0.6707488486891184,0.0,0.0,0.0,0.5569311359953781,0.49321489726146506,1.1985380886156443,0.43626363653478933,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2023,003800,Q1,Consumer Discretionary,0.13629923195736626,0.29036908009916296,-0.42185429452271583,0.026020609123140827,-0.09922278156536668,0.6138165183693322,0.8978667636216336,0.2841024116464806,0.43732775295183307,-0.663395002660605,-0.27995409063453913,-0.5439578457608606,-2.1624613962117802,-0.9320001319151658,0.18235532140888577,0.6182587235482353,0.24963513856141017,0.0,-0.0683931621313382,-0.7414380998092599,0.24598898039568018,0.76626925112012,-0.6727669657569769,0.0,0.0,0.0,0.3136485735895713,0.4118336399477021,1.2356213627537231,0.26734104088308047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2024,003800,Q1,Consumer Discretionary,0.14929742738480573,-0.3746570659604863,0.6531319369633284,0.9320420894139606,1.0496066091392144,0.6481283807217512,0.931641974829314,0.34071923971983503,0.4560873562552841,-0.5276749353849589,-0.22888460541796052,-0.5385919025870808,-2.367771970266928,-0.9304347657009507,0.1087854960770537,0.6177567478294901,0.2070529559604172,0.0,-0.10098230065124374,-0.7414380998092599,0.1864776429989409,0.7928018806236351,-0.6712562056934975,0.0,0.0,0.0,0.4884797933988108,0.4842004707758794,1.2653801040401464,0.34469573641398865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
